scale,freq,cum.freq,pct.,cum.pct
1038,142,142,0.04,0.04
1171,15,157,0,0.04
1250,78,235,0.02,0.06
1299,269,504,0.07,0.13
1335,840,1344,0.21,0.34
1364,1690,3034,0.42,0.76
1389,3254,6288,0.81,1.57
1411,5413,11701,1.35,2.92
1431,7659,19360,1.91,4.83
1450,9696,29056,2.42,7.24
1467,11529,40585,2.87,10.12
1483,13145,53730,3.28,13.39
1499,13830,67560,3.45,16.84
1514,14844,82404,3.7,20.54
1536,15153,97557,3.78,24.32
1544,15120,112677,3.77,28.09
1558,15347,128024,3.83,31.92
1572,15525,143549,3.87,35.79
1586,15710,159259,3.92,39.7
1600,15596,174855,3.89,43.59
1614,15529,190384,3.87,47.46
1629,15451,205835,3.85,51.31
1643,15259,221094,3.8,55.12
1653,15028,236122,3.75,58.86
1673,15147,251269,3.78,62.64
1689,14683,265952,3.66,66.3
1705,14469,280421,3.61,69.91
1722,14229,294650,3.55,73.45
1740,13523,308173,3.37,76.82
1758,13246,321419,3.3,80.13
1772,12987,334406,3.24,83.36
1800,12264,346670,3.06,86.42
1823,11964,358634,2.98,89.4
1850,10841,369475,2.7,92.11
1881,9958,379433,2.48,94.59
1919,8529,387962,2.13,96.72
1970,6729,394691,1.68,98.39
2051,4437,399128,1.11,99.5
2186,2010,401138,0.5,100
