State,Abbr,SY2010_11,SY2011_12,SY2012_13,SY2013_14,SY2014_15,SY2015_16,SY2016_17
Alabama,AL,72,75,80,86.3,89.3,87.1,89.3
Alaska,AK,68,70,71.8,71.1,75.6,76.1,78.2
Arizona,AZ,78,76,75.1,75.7,77.4,79.5,78.0
Arkansas,AR,81,84,84.9,86.9,84.9,87,88.0
California,CA,76,79,80.4,81,82,83,82.7
Colorado,CO,74,75,76.9,77.3,77.3,78.9,79.1
Connecticut,CT,83,85,85.5,87,87.2,87.4,87.9
Delaware,DE,78,80,80.4,87,85.6,85.5,86.9
District of Columbia,DC,59,59,62.3,61.4,68.5,69.2,73.2
Florida,FL,71,75,75.6,76.1,77.9,80.7,82.3
Georgia,GA,67,70,71.7,72.5,78.8,79.4,80.6
Hawaii,HI,80,81,82.4,81.8,81.6,82.7,82.7
Idaho,ID,---,---,---,77.3,78.9,79.7,79.7
Illinois,IL,84,82,83.2,86,85.6,85.5,87.0
Indiana,IN,86,86,87,87.9,87.1,86.8,83.8
Iowa,IA,88,89,89.7,90.5,90.8,91.3,91.0
Kansas,KS,83,85,85.7,85.7,85.7,85.7,86.5
Kentucky,KY,---,---,86.1,87.5,88,88.6,89.7
Louisiana,LA,71,72,73.5,74.6,77.5,78.6,78.1
Maine,ME,84,85,86.4,86.5,87.5,87,86.9
Maryland,MD,83,84,85,86.4,87,87.6,87.7
Massachusetts,MA,83,85,85,86.1,87.3,87.5,88.3
Michigan,MI,74,76,77,78.6,79.8,79.7,80.2
Minnesota,MN,77,78,79.8,81.2,81.9,82.2,82.7
Mississippi,MS,75,75,75.5,77.6,75.4,82.3,83.0
Missouri,MO,81,84,85.7,87.3,87.8,89,88.3
Montana,MT,82,84,84.4,85.4,86,85.6,85.8
Nebraska,NE,86,88,88.5,89.7,88.9,89.3,89.1
Nevada,NV,62,63,70.7,70,71.3,73.6,80.9
New Hampshire,NH,86,86,87.3,88.1,88.1,88.2,88.9
New Jersey,NJ,83,86,87.5,88.6,89.7,90.1,90.5
New Mexico,NM,63,70,70.3,68.5,68.6,71,71.1
New York,NY,77,77,76.8,77.8,79.2,80.4,81.8
North Carolina,NC,78,80,82.5,83.9,85.6,85.9,86.6
North Dakota,ND,86,87,87.5,87.2,86.6,87.5,87.2
Ohio,OH,80,81,82.2,81.8,80.7,83.5,84.2
Oklahoma,OK,---,---,84.8,82.7,82.5,81.6,82.6
Oregon,OR,68,68,68.7,72,73.8,74.8,76.7
Pennsylvania,PA,83,84,85.5,85.3,84.8,86.1,86.6
Rhode Island,RI,77,77,79.7,80.8,83.2,82.8,84.1
South Carolina,SC,74,75,77.6,80.1,80.3,82.6,83.6
South Dakota,SD,83,83,82.7,82.7,83.9,83.9,83.7
Tennessee,TN,86,87,86.3,87.2,87.9,88.5,89.8
Texas,TX,86,88,88,88.3,89,89.1,89.7
Utah,UT,76,80,83,83.9,84.8,85.2,86.0
Vermont,VT,87,88,86.6,87.8,87.7,87.7,89.1
Virginia,VA,82,83,84.5,85.3,85.7,86.7,86.9
Washington,WA,76,77,76.4,78.2,78.2,79.7,79.4
West Virginia,WV,78,79,81.4,84.5,86.5,89.8,89.4
Wisconsin,WI,87,88,88,88.6,88.4,88.2,88.6
Wyoming,WY,80,79,77,78.6,79.3,80,86.2
